objectid,Image,filename,title,Artist,Objects in Image,Words,Manufacture location,format
1,,Aviary.png,"National Aviary, Pittsburgh, PA",N/A,Penguins,"National Aviary, African Penguins",U.S.A.,Image/png
2,,Old Faithful.png,"Yellowstone National Park, WY",Mark Haun,"Geiser, tree, road, building","Yellowstone, Old Faithful",China,Image/png
3,,Penn State.png,"State College, PA",N/A,"Nittany lion, statue, tree","Penn State University, Nittany Lions",Mexico,Image/png
4,,Assateague.png,"Assateague Island, MD, VA",N/A,"Lighthouse, water, waves, horse",Assateague Island,N/A,Image/png
5,,"OC, MD.png","Ocean City, MD",N/A,"Dolphin, sun, water","Ocean City, MD",N/A,Image/png
6,,"OC, NJ.png","Ocean City, NJ",N/A,"Lighthouse, anchor, seagull, beach chair, lifeguard stand","New Jersey, Ocean City",N/A,Image/png
7,,Annapolis.png,"Annapolis, MD",Lantern Press,"Car, flag, people, person, church, cloud, building, flowers","Annapolis, Maryland",U.S.A.,Image/png
8,,Great Falls.png,"Great Falls, MD, VA",Eastern National Artwork,"Rocks, family, hat, tree, water, waterfall","Great Falls, Park",U.S.A.,Image/png
9,,Lake Tahoe.png,"Lake Tahoe, CA, NV",Lantern Press,"Lake, mountain, clouds, flowers, grass",Lake Tahoe,U.S.A.,Image/png
10,,Williamsburg.png,"Williamsburg, VA",Anderson Design Group,"Building, tree, clouds, horse, carriage",Colonial Williamsburg,U.S.A.,Image/png
11,,Rehoboth.png,"Rehoboth, DE",Lantern Press,"Gazebo, musician, people, clouds, streetlight","Rehoboth Beach, Delaware",U.S.A.,Image/png
12,,Maryland Zoo.png,"Maryland Zoo, Baltimore, MD",African Penguins Group,"Penguins, rocks",Maryland Zoo,U.S.A.,Image/png
13,,Antique.png,"Antique Archaeology, Nashville, TN",N/A,"Rooster, sun, arrow","Antique Archaeology, LeClaire, IA, Nashville, TN",N/A,Image/png
14,,Las Vegas.png,"Las Vegas, NV",The Fortune Group,"Casino, building, billboard, McDonald's, cars, mountain","Las Vegas, Nevada",Mexico,Image/png
15,,Jacksonville.png,"Jacksonville, FL",N/A,"Bridge, building, water, statue, monument",Greetings From Jacksonville Florida,N/A,Image/png
16,,Orlando.png,"Orlando, FL",N/A,"Orange, building, water, flowers, flag","Greetings from Orlando Florida, ""The City Beautiful""",N/A,Image/png
17,,Missoula.png,"Missoula, MT",N/A,"City, building, mountain, grass","Missoula, Montana",U.S.A.,Image/png
18,,Falling Water.png,"Fallingwater, Mill Run, PA",N/A,"Building, home, waterfall, rock, tree",N/A,U.S.A.,Image/png
19,,Philadelphia Zoo.png,"Philadelphia Zoo, Philadelphia, PA","Alan Carey, Sandy Carey","Tiger, leaf, leaves, branch",Philadelphia Zoo,China,Image/png
20,,Pittsburgh.png,"Pittsburgh, PA",Found Image Press,"Building, water, city, logo, number","57, Main Plant of H. J. Heinz Co., Pittsburgh, Pa",U.S.A.,Image/png
